genome_ID	OTU	NCBI_ID	novelty_category
0	0	434085	known_strain
1	1	247639	known_strain
2	2	1050222	known_strain
3	3	667138	known_strain
4	4	552396	known_strain
5	5	1007115	known_strain
6	6	1122939	known_strain
7	7	1111069	known_strain
8	8	1131272	known_strain
9	9	1131273	known_strain
10	10	1097667	known_strain
11	11	1263001	known_strain
12	12	1137281	known_strain
13	13	1345697	known_strain
14	14	1412874	known_strain
15	15	1224136	known_strain
16	16	1229484	known_strain
17	17	1229781	known_strain
18	18	1235799	known_strain
19	19	370895	known_strain
20	20	742723	known_strain
21	21	1045854	known_strain
22	22	1009708	known_strain
23	23	1174684	known_strain
24	24	349101	known_strain
25	25	1230476	known_strain
26	26	245012	known_strain
27	27	939301	known_strain
28	28	1263006	known_strain
29	29	1394711	known_strain
